,rating,Qualy,DrivingStyle,Expirience,Adaptiveness,Emotions,Stability,Rain,SettingsAngle,Starting,TyreManagement,MistakePossibility,Price,Sponsors
Antonelli ,90,91,0,50,85,0,1,1,1,85,90,10,20,
Russell,89,90,2,80,80,1,0,1,1,93,86,5,30,
Leclerc,95,98,1,85,90,0,1,1,1,95,87,6,40,
Hamilton,95,96,2,100,90,1,0,0,0,95,95,3,50,10
Norris,92,95,1,80,80,0,1,0,0,85,94,8,45,
Piastri,90,92,1,70,75,2,1,1,0,92,90,6,35,
Verstappen,97,98,0,95,100,2,0,0,1,94,94,4,50,
Hadjar,85,88,0,50,80,0,2,1,1,88,87,12,10,
Gasly,88,91,1,85,80,1,1,1,0,88,87,9,15,
Colapinto,83,83,2,55,60,2,2,2,0,84,85,13,5,10
Lawson,85,83,0,55,60,0,2,2,1,84,85,10,5,
Linblad,82,83,0,40,80,1,2,2,1,82,85,15,5,
Bearman,86,85,1,50,85,2,1,1,1,87,85,7,10,
Ocon,81,81,0,90,70,2,2,2,1,86,91,12,15,
Sainz,90,91,2,95,95,2,0,0,0,91,92,4,25,10
Albon,87,88,2,85,75,2,1,1,0,90,88,7,17,
Bortoleto,84,86,1,50,75,1,2,2,0,87,85,15,5,5
Hulkenberg,87,87,1,100,90,2,1,1,0,88,88,10,15,
Alonso,93,93,1,100,100,2,0,0,0,96,93,2,40,10
Stroll,82,85,0,85,70,1,2,0,0,85,85,16,0,30
Bottas,83,88,2,100,70,1,2,1,0,84,90,12,15,
Perez,84,88,0,100,85,0,1,1,0,86,94,10,15,15
Tsunoda,80,80,1,70,70,0,2,2,1,84,85,17,5,
Magnussen,81,82,0,85,90,2,1,1,0,83,88,12,2,
Kubica,74,74,1,80,90,1,2,0,1,80,85,8,2,
Giovinazzi,75,76,1,50,80,1,2,1,1,80,85,10,2,
Zhou,77,77,1,55,70,1,2,1,0,80,85,12,2,5
De Vries,77,77,1,50,80,1,2,1,0,80,85,15,2,
